Código,Nombre,Peso (kg/m),Largo (m)
01416,"BARRA REDONDA 14,29mm",0.44,
01417,"BARRA REDONDA 17,00mm",0.63,
01418,BARRA REDONDA 18mm,0.7,3
01419,"BARRA REDONDA 19,00mm",0.8,
01420,"BARRA REDONDA 20,00mm",0.87,
01421,"BARRA REDONDA 21,00mm",0.96,
01422,"BARRA REDONDA 22,00mm",1,
01423,"BARRA REDONDA 23,00mm",1.15,
01424,"BARRA REDONDA 24,00mm",1.25,
01425,"BARRA REDONDA 25,00mm",1.35,
01426,"BARRA REDONDA 26,00mm",1.46,
01427,"BARRA REDONDA 27,00 mm ",1.576,
01428,"BARRA REDONDA 28,00mm",1.7,
01429,"BARRA REDONDA 29,00mm",1.82,
01430,"BARRA REDONDA 30,00mm",1.95,
01431,,,
01432,"BARRA REDONDA 32,00mm",2.2,3
01433,,,
01434,"BARRA REDONDA 34,30mm",2.55,3
01435,"BARRA REDONDA 35,00mm",2.65,3
01436,"BARRA REDONDA 36,00mm",2.8,3
01437,"BARRA REDONDA 37,00mm",2.95,3
01438,"BARRA REDONDA 38,10mm",3.2,3
01439,"BARRA REDONDA 44,45mm",4.3,3
01440,"BARRA REDONDA 40,00mm",3.46,3
